Variable,Original,Translation
generalinfo|baseabilities.k,"Base ability scores represent character's core potential. These scores are set at the creation time, but can be evolved later to a certain degree. They affect many things in the game, such as skill levels, and are often found as requirements for feats, studies and psi abilities.",
generalinfo|feats.k,Feats are special traits or tricks of the trade your character has learned over time.,
generalinfo|skills.k,"As your character levels up, they will receive a number of skill points that you can distribute in various areas. You may not invest more than 5 skill points (three times that at level one) per level in any given skill.\n\nEach skill is affected by one of your character's base ability scores, but the amount of points you may invest in any skill is not restricted by them.\n\nSome skills may benefit from others through skill synergy.\n\nThe number in brackets represents the skill level with all factors counted in.",
generalinfo|specialization.k,You can further improve the effects of your feats by spending specialization points.\n\nThe benefits of specialization are always listed in regards to the original effects of the related feat.,
strength,Strength measures character's muscle power. It affects melee damage and carry capacity. It's also important for characters who intend to use heavier weapons (such as {0}).,
dexterity,"Dexterity measures character's reflexes, hand-eye coordination and finger nimbleness. It affects many things, such as operating locks, thievery, throwing and initiative.\n\nIt increases critical strike chance of melee attacks. High dexterity also reduces action point cost of unarmed and light weapons (pistols, SMGs, knives, throwing knives and fist weapons).",
agility,"Agility represents character's reflexes, fleet-footedness, as well as affinity towards other athletic and acrobatic activities. Among other things it affects dodge, evasion, initiative and movement points. It also allows the character to move more quietly, increasing the stealth performance.",
constitution,"Constitution represents the health and general stamina of your character. It is important for all types of characters, but especially for those who plan on making the armor suit their main defense. It also helps prevent or lessen the effects of poisons and diseases.",
perception,"Perception represents character's ability to discern objects from far away as well as to notice hidden things in their vicinity. It helps the character to use ranged weapons more effectively, as well as detect hidden objects, passages and creatures.",
will,"Will measures character's mental determination to see to his actions regardless of various mental difficulties, such as pain, suggestion and overwhelming odds, as well as to force his will onto others and the environment.\n\nIt heavily affects all psi disciplines as well as psi point regeneration.",
will2,"Will measures character's mental determination to see to his actions regardless of various mental difficulties, such as pain, suggestion and overwhelming odds, as well as to force his will onto others and the environment.\n\nIt heavily affects the potency of all psi disciplines, as well as psi point regeneration.",
intelligence,Intelligence determines how well the character learns and reasons. It is important for a character that focuses on science as all disciplines are dependent on it.\n\nIt also determines the number of different psi abilities that can be invoked during combat and affects psi point regeneration.,
regular|caltrops.k,"Deploy regular caltrops to the targeted area. Anyone who steps on a caltrop suffers {0} damage and loses {1} movement points (if target has no movement points, it loses action points instead). Stepping on a caltrop cannot deal a fatal blow.",
regular|throwingknives.k,"Throw the knife dealing {0} damage if it hits the target. This damage incurs {2}% of target's mechanical resistance and threshold, but the damage that passes armor is increased by {3}% against living targets. Damage and precision scale with the throwing skill. When throwing a knife while in melee range of an enemy, you suffer {1}% hit chance penalty.",
burrowerpoison|caltrops.k,"Deploy poison-tipped caltrops to the targeted area. Anyone who steps on a caltrop immediately suffers {0} damage and loses {1} movement points (if target has no movement points, it loses action points instead) and is infected by burrower poison that deals {2} damage each turn for {3}. Stacks {4} times.",
burrowerpoison|throwingknives.k,If target takes damage it is also afflicted with burrower poison that deals {0} damage each turn for up to {1}. Stacks {2} times.,
caveearpoison|caltrops.k,"Deploy poison-tipped caltrops to the targeted area. Anyone who steps on a caltrop immediately suffers {0} damage and loses {1} movement points (if target has no movement points, it loses action points instead) and is infected by cave ear poison that increases all biological damage taken by {2}% and reduces perception by {3}. Lasts up to {4}.",
caveearpoison|statuseffects.k,This character is afflicted by cave ear poison. All biological damage received increased by {0}% and perception reduced by {1}.,
caveearpoison|throwingknives.k,If target takes damage it is also afflicted with cave ear poison that increases all biological damage taken by {0}% and reduces perception by {1}. Lasts up to {2}.,
crawlerpoison|caltrops.k,"Deploy poison-tipped caltrops to the targeted area. Anyone who steps on a caltrop immediately suffers {0} damage and loses {1} movement points (if target has no movement points, it loses action points instead) and is infected by crawler poison that deals {2} damage each turn for {3}. If the poison is not removed before it expires it will stun the victim for {4}.",
crawlerpoison|statuseffects.k,"This character is afflicted by crawler poison, suffering {0} bio damage every turn. If the poison is not removed before it expires it will stun the victim for up to {1}.",
crawlerpoison|throwingknives.k,If target takes damage it is also afflicted with crawler poison that deals {0} damage each turn for {1}. If the poison is not removed before it expires it will stun the victim for {2}.,
blindingpoison|caltrops.k,"Deploy poison-tipped caltrops to the targeted area. Anyone who steps on a caltrop immediately suffers {0} damage and loses {1} movement points (if target has no movement points, it loses action points instead) and is infected by blinding poison that deals {2} damage each turn for {3} and reduces perception by {4}. Stacks {5} times.",
blindingpoison|statuseffects.k,"This character is afflicted by blinding poison, suffering {0} bio damage every turn. Their perception is also decreased by {1}.",
blindingpoison|throwingknives.k,If target takes damage it is also afflicted with blinding poison that deals {0} damage each turn for up to {1} and reduces perception by {2}. Stacks {3} times.,
health,"Shows current and maximum health points. When your current health points reach zero, you die.",
healingeffectiveness,Shows the number by which any incoming healing will be modified.,
shield,"Shows current and maximum shield points. Whenever you're hit, the shield will absorb certain amount of damage depending on the impact speed of the attack as long as you have shield points left. Shield will also slowly deplete on their own while turned on.",
psi,"Shows current and maximum psi points, as well as psi regeneration per turn. Psi is used to invoke psionic abilities.",
psireserve,Shows current and maximum psi point reserves. These points are used to naturally regenerate regular psi points over time.,
dodge,Increases your chance to avoid melee attacks.,
evasion|combatstattooltips.k,Increases your chance to avoid ranged weapon attacks and also decreases the damage taken from area of effect attacks.,
evasion|skills.k,Increases your chance to avoid a ranged attack. Reduces damage you receive from area of effect attacks.,
fortitude,"Increases the chance to resist some negative status effects, such as stun and incapacitation, caused by direct physical trauma. Also increases poison resistance.",
resolve,"Increases the chance to resist some negative status effects, such as stun and incapacitation, caused by mental stress and also reduces damage or duration of certain psionic attacks that target the mind directly.",
togetweaponcritchancemod,Modifies the chance you'll get critically hit with weapons and unarmed attacks.,
togetpsicritchancemod,Modifies the chance you'll get critically hit with psi abilities.,
armorpenalty,"Reduces dodge, evasion, stealth and movement points.",
shieldcapacity,The total amount of damage the shield can absorb when fully charged.,
shieldingdescription,"Keep in mind that certain attacks can ignore a percentage of the shielding amount, or even ignore the shielding altogether.",
shieldingverylow,Maximum amount of damage that the shield can absorb per attack from very low impact speed attacks (such as melee weapon attacks).,
shieldinglow,Maximum amount of damage that the shield can absorb per attack from low impact speed attacks (such as crossbow bolts).,
shieldingmedium,Maximum amount of damage that the shield can absorb per attack from medium impact speed attacks (such as regular firearms).,
shieldinghigh,Maximum amount of damage that the shield can absorb per attack from high impact speed attacks (such as sniper rifles).,
shieldingveryhigh,Maximum amount of damage that the shield can absorb per attack from very high impact speed attacks (such as energy weapons).,
resistancedescription|combatstattooltips.k,"The armor either absorbs the amount indicated by the percentage OR the flat number, whichever will result in more damage being absorbed. Keep in mind that certain damages (such as poison or direct mind damage, completely ignore armor).\n\nThe number in the brackets is the percentage by which the damage that goes through the shield and the resistance is modified.",
resistancedescription|vehiclestattooltips.k,"The armor either absorbs the amount indicated by the percentage OR the flat number, whichever will result in more damage being absorbed. The unabsorbed amount reduces the vehicles durability.",
resistancemechanical|combatstattooltips.k,The amount of mechanical damage your armor can absorb.,
resistancemechanical|vehiclestattooltips.k,The amount of mechanical damage the vehicle's armor can absorb.,
resistanceheat|combatstattooltips.k,The amount of heat damage your armor can absorb.,
resistanceheat|vehiclestattooltips.k,The amount of heat damage the vehicle's armor can absorb.,
resistancecold|combatstattooltips.k,The amount of cold damage your armor can absorb.,
resistancecold|vehiclestattooltips.k,The amount of cold damage the vehicle's armor can absorb.,
resistanceelectricity|combatstattooltips.k,The amount of electrical damage your armor can absorb.,
resistanceelectricity|vehiclestattooltips.k,The amount of electrical damage the vehicle's armor can absorb.,
resistanceacid|combatstattooltips.k,The amount of acid damage your armor can absorb.,
resistanceacid|vehiclestattooltips.k,The amount of acid damage the vehicle's armor can absorb.,
resistanceenergy|combatstattooltips.k,The amount of energy damage your armor can absorb.,
resistanceenergy|vehiclestattooltips.k,The amount of energy damage the vehicle's armor can absorb.,
resistancebio|combatstattooltips.k,The amount of bio damage your armor can absorb.,
resistancebio|vehiclestattooltips.k,The amount of bio damage the vehicle's armor can absorb.,
stealth|combatstattooltips.k,"Indicates how well you can move undetected. The higher your stealth rating is in comparison to enemy's the longer it will take for you to be discovered. If your stealth is much too lower than the detection rating, you will be discovered instantly at maximum range.",
stealth|skills.k,Decreases the chance that you'll be spotted while in stealth mode. Also affects numerous aspects of stealth combat.,
stealth|specialabilities.k,"You enter stealth mode which allows you to hide from others, but reduces your movement speed by {0}%.\n\nTo successfully hide from someone, you need to keep out of their sight for a while. Once you are hidden from someone, they will need to pass a perception check to detect you.\n\nEntering the stealth mode in combat will immediately drain all your remaining action and movement points. While in combat your movement points are reduced to {1} and you can receive no extra movement points from any source.\n\nMost hostile actions will immediately remove you from stealth.",
detection,Indicates how quickly you discover hidden characters.,
trapdetection,Indicates how well you discover traps. It's derived from your detection rating and traps skill.,
