Variable,Original,Translation
generalinfo|baseabilities.k,"Base ability scores represent character's core potential. These scores are set at the creation time, but can be evolved later to a certain degree. They affect many things in the game, such as skill levels, and are often found as requirements for feats, studies and psi abilities.","Las puntuaciones base de habilidad representan el potencial fundamental de tu personaje. Se establecen en la creación, pero pueden evolucionar hasta cierto punto. Influyen en muchos aspectos del juego, como los niveles de habilidad, y a menudo son requisitos para proezas, estudios y habilidades psíquicas."
generalinfo|feats.k,Feats are special traits or tricks of the trade your character has learned over time.,Las proezas son rasgos o trucos especiales que tu personaje ha aprendido con el tiempo.
generalinfo|skills.k,"As your character levels up, they will receive a number of skill points that you can distribute in various areas. You may not invest more than 5 skill points (three times that at level one) per level in any given skill.\n\nEach skill is affected by one of your character's base ability scores, but the amount of points you may invest in any skill is not restricted by them.\n\nSome skills may benefit from others through skill synergy.\n\nThe number in brackets represents the skill level with all factors counted in.","A medida que tu personaje sube de nivel, recibirá puntos de habilidad que podrá distribuir en diversas áreas. No podrá invertir más de 5 puntos de habilidad (el triple en el nivel uno) por nivel en una misma habilidad.\n\nCada habilidad se ve influenciada por una de las puntuaciones base de habilidad de tu personaje, pero estas no limitan la cantidad de puntos que puede invertir en cada una.\n\nAlgunas habilidades pueden beneficiarse de otras mediante sinergia.\n\nEl número entre paréntesis representa el nivel de habilidad total, considerando todos los factores."
generalinfo|specialization.k,You can further improve the effects of your feats by spending specialization points.\n\nThe benefits of specialization are always listed in regards to the original effects of the related feat.,Puede mejorar aún más los efectos de sus proezas invirtiendo puntos de especialización.\n\nLas ventajas de la especialización siempre se enumeran en relación con los efectos originales de la proeza relacionada.
strength,Strength measures character's muscle power. It affects melee damage and carry capacity. It's also important for characters who intend to use heavier weapons (such as {0}).,La Fuerza mide el poder muscular del personaje. Afecta al daño cuerpo a cuerpo y a la capacidad de carga. También es importante para los personajes que pretenden usar armas más pesadas (como {0}).
dexterity,"Dexterity measures character's reflexes, hand-eye coordination and finger nimbleness. It affects many things, such as operating locks, thievery, throwing and initiative.\n\nIt increases critical strike chance of melee attacks. High dexterity also reduces action point cost of unarmed and light weapons (pistols, SMGs, knives, throwing knives and fist weapons).","La Destreza mide los reflejos, la coordinación ojo-mano y la agilidad de los dedos del personaje. Afecta a muchas cosas, como abrir cerraduras, el hurto, el lanzamiento y la iniciativa.\n\nAumenta la probabilidad de golpe crítico de los ataques cuerpo a cuerpo. Una destreza alta también reduce el coste de puntos de acción de las armas ligeras y sin armas (pistolas, subfusiles, cuchillos, cuchillos arrojadizos y armas de puño)."
agility,"Agility represents character's reflexes, fleet-footedness, as well as affinity towards other athletic and acrobatic activities. Among other things it affects dodge, evasion, initiative and movement points. It also allows the character to move more quietly, increasing the stealth performance.","La Agilidad representa los reflejos del personaje, la rapidez de pies, así como la afinidad por otras actividades atléticas y acrobáticas. Entre otras cosas, afecta a la esquiva, la evasión, la iniciativa y los puntos de movimiento. También permite al personaje moverse más silenciosamente, mejorando el rendimiento en sigilo."
constitution,"Constitution represents the health and general stamina of your character. It is important for all types of characters, but especially for those who plan on making the armor suit their main defense. It also helps prevent or lessen the effects of poisons and diseases.","La Constitución representa la salud y la resistencia general de tu personaje. Es importante para todo tipo de personajes, pero especialmente para aquellos que planean hacer del traje de armadura su principal defensa. También ayuda a prevenir o disminuir los efectos de los venenos y las enfermedades."
perception,"Perception represents character's ability to discern objects from far away as well as to notice hidden things in their vicinity. It helps the character to use ranged weapons more effectively, as well as detect hidden objects, passages and creatures.","La Percepción representa la capacidad del personaje para discernir objetos desde lejos, así como para notar cosas ocultas en su vecindad. Ayuda al personaje a usar armas a distancia de forma más eficaz, así como a detectar objetos, pasajes y criaturas ocultas."
will,"Will measures character's mental determination to see to his actions regardless of various mental difficulties, such as pain, suggestion and overwhelming odds, as well as to force his will onto others and the environment.\n\nIt heavily affects all psi disciplines as well as psi point regeneration.","La Voluntad mide la determinación mental del personaje para llevar a cabo sus acciones a pesar de diversas dificultades mentales, como el dolor, la sugestión y las probabilidades abrumadoras, así como para imponer su voluntad a los demás y al entorno.\n\nAfecta en gran medida a todas las disciplinas psi, así como a la regeneración de puntos psi."
will2,"Will measures character's mental determination to see to his actions regardless of various mental difficulties, such as pain, suggestion and overwhelming odds, as well as to force his will onto others and the environment.\n\nIt heavily affects the potency of all psi disciplines, as well as psi point regeneration.","La Voluntad mide la determinación mental del personaje para llevar a cabo sus acciones a pesar de diversas dificultades mentales, como el dolor, la sugestión y las probabilidades abrumadoras, así como para imponer su voluntad a los demás y al entorno.\n\nAfecta en gran medida a la potencia de todas las disciplinas psi, así como a la regeneración de puntos psi."
intelligence,Intelligence determines how well the character learns and reasons. It is important for a character that focuses on science as all disciplines are dependent on it.\n\nIt also determines the number of different psi abilities that can be invoked during combat and affects psi point regeneration.,"La Inteligencia determina lo bien que el personaje aprende y razona. Es importante para un personaje que se centre en la ciencia, ya que todas las disciplinas dependen de ella.\n\nTambién determina el número de habilidades psi diferentes que se pueden invocar durante el combate y afecta a la regeneración de puntos psi."
regular|caltrops.k,"Deploy regular caltrops to the targeted area. Anyone who steps on a caltrop suffers {0} damage and loses {1} movement points (if target has no movement points, it loses action points instead). Stepping on a caltrop cannot deal a fatal blow.","Despliega calamitos regulares en el área objetivo. Cualquiera que pise un calamito sufre {0} de daño y pierde {1} puntos de movimiento (si el objetivo no tiene puntos de movimiento, pierde puntos de acción en su lugar). Pisar un calamito no puede infligir un golpe mortal."
regular|throwingknives.k,"Throw the knife dealing {0} damage if it hits the target. This damage incurs {2}% of target's mechanical resistance and threshold, but the damage that passes armor is increased by {3}% against living targets. Damage and precision scale with the throwing skill. When throwing a knife while in melee range of an enemy, you suffer {1}% hit chance penalty.","Lanza el cuchillo infligiendo {0} de daño si golpea al objetivo. Este daño incurre en el {2}% de la resistencia y el umbral mecánicos del objetivo, pero el daño que atraviesa la armadura aumenta en un {3}% contra objetivos vivos. El daño y la precisión escalan con la habilidad de lanzamiento. Al lanzar un cuchillo estando en alcance cuerpo a cuerpo de un enemigo, sufre una penalización de {1}% en la probabilidad de impacto."
burrowerpoison|caltrops.k,"Deploy poison-tipped caltrops to the targeted area. Anyone who steps on a caltrop immediately suffers {0} damage and loses {1} movement points (if target has no movement points, it loses action points instead) and is infected by burrower poison that deals {2} damage each turn for {3}. Stacks {4} times.","Despliega calamitos con punta de veneno en el área objetivo. Cualquiera que pise un calamito sufre inmediatamente {0} de daño y pierde {1} puntos de movimiento (si el objetivo no tiene puntos de movimiento, pierde puntos de acción en su lugar) y es infectado por veneno de excavador que inflige {2} de daño cada turno durante {3}. Se acumula {4} veces."
burrowerpoison|throwingknives.k,If target takes damage it is also afflicted with burrower poison that deals {0} damage each turn for up to {1}. Stacks {2} times.,"Si el objetivo recibe daño, también se ve afectado por veneno de excavador que inflige {0} de daño cada turno durante un máximo de {1}. Se acumula {2} veces."
caveearpoison|caltrops.k,"Deploy poison-tipped caltrops to the targeted area. Anyone who steps on a caltrop immediately suffers {0} damage and loses {1} movement points (if target has no movement points, it loses action points instead) and is infected by cave ear poison that increases all biological damage taken by {2}% and reduces perception by {3}. Lasts up to {4}.","Despliega calamitos con punta de veneno en el área objetivo. Cualquiera que pise un calamito sufre inmediatamente {0} de daño y pierde {1} puntos de movimiento (si el objetivo no tiene puntos de movimiento, pierde puntos de acción en su lugar) y es infectado por veneno de oreja de cueva que aumenta todo el daño biológico recibido en un {2}% y reduce la percepción en {3}. Dura hasta {4}."
caveearpoison|statuseffects.k,This character is afflicted by cave ear poison. All biological damage received increased by {0}% and perception reduced by {1}.,Este personaje está afectado por veneno de oreja de cueva. Todo el daño biológico recibido aumenta en un {0}% y la percepción se reduce en {1}.
caveearpoison|throwingknives.k,If target takes damage it is also afflicted with cave ear poison that increases all biological damage taken by {0}% and reduces perception by {1}. Lasts up to {2}.,"Si el objetivo recibe daño, también se ve afectado por veneno de oreja de cueva que aumenta todo el daño biológico recibido en un {0}% y reduce la percepción en {1}. Dura hasta {2}."
crawlerpoison|caltrops.k,"Deploy poison-tipped caltrops to the targeted area. Anyone who steps on a caltrop immediately suffers {0} damage and loses {1} movement points (if target has no movement points, it loses action points instead) and is infected by crawler poison that deals {2} damage each turn for {3}. If the poison is not removed before it expires it will stun the victim for {4}.","Despliega calamitos con punta de veneno en el área objetivo. Cualquiera que pise un calamito sufre inmediatamente {0} de daño y pierde {1} puntos de movimiento (si el objetivo no tiene puntos de movimiento, pierde puntos de acción en su lugar) y es infectado por veneno de rastreador que inflige {2} de daño cada turno durante {3}. Si el veneno no se elimina antes de que expire, aturdirá a la víctima durante {4}."
crawlerpoison|statuseffects.k,"This character is afflicted by crawler poison, suffering {0} bio damage every turn. If the poison is not removed before it expires it will stun the victim for up to {1}.","Este personaje está afectado por veneno de rastreador, sufriendo {0} de daño biológico cada turno. Si el veneno no se elimina antes de que expire, aturdirá a la víctima durante un máximo de {1}."
crawlerpoison|throwingknives.k,If target takes damage it is also afflicted with crawler poison that deals {0} damage each turn for {1}. If the poison is not removed before it expires it will stun the victim for {2}.,"Si el objetivo recibe daño, también se ve afectado por veneno de rastreador que inflige {0} de daño cada turno durante {1}. Si el veneno no se elimina antes de que expire, aturdirá a la víctima durante {2}."
blindingpoison|caltrops.k,"Deploy poison-tipped caltrops to the targeted area. Anyone who steps on a caltrop immediately suffers {0} damage and loses {1} movement points (if target has no movement points, it loses action points instead) and is infected by blinding poison that deals {2} damage each turn for {3} and reduces perception by {4}. Stacks {5} times.","Despliega calamitos con punta de veneno en el área objetivo. Cualquiera que pise un calamito sufre inmediatamente {0} de daño y pierde {1} puntos de movimiento (si el objetivo no tiene puntos de movimiento, pierde puntos de acción en su lugar) y es infectado por veneno cegador que inflige {2} de daño cada turno durante {3} y reduce la percepción en {4}. Se acumula {5} veces."
blindingpoison|statuseffects.k,"This character is afflicted by blinding poison, suffering {0} bio damage every turn. Their perception is also decreased by {1}.","Este personaje está afectado por veneno cegador, sufriendo {0} de daño biológico cada turno. Su percepción también se reduce en {1}."
blindingpoison|throwingknives.k,If target takes damage it is also afflicted with blinding poison that deals {0} damage each turn for up to {1} and reduces perception by {2}. Stacks {3} times.,"Si el objetivo recibe daño, también se ve afectado por veneno cegador que inflige {0} de daño cada turno durante un máximo de {1} y reduce la percepción en {2}. Se acumula {3} veces."
health,"Shows current and maximum health points. When your current health points reach zero, you die.","Muestra los puntos de salud actuales y máximos. Cuando tus puntos de salud actuales llegan a cero, mueres."
healingeffectiveness,Shows the number by which any incoming healing will be modified.,Muestra el número por el que se modificará cualquier curación entrante.
shield,"Shows current and maximum shield points. Whenever you're hit, the shield will absorb certain amount of damage depending on the impact speed of the attack as long as you have shield points left. Shield will also slowly deplete on their own while turned on.","Muestra los puntos de escudo actuales y máximos. Cada vez que te golpean, el escudo absorberá cierta cantidad de daño dependiendo de la velocidad de impacto del ataque siempre y cuando te queden puntos de escudo. El escudo también se agotará lentamente por sí solo mientras esté encendido."
psi,"Shows current and maximum psi points, as well as psi regeneration per turn. Psi is used to invoke psionic abilities.","Muestra los puntos psi actuales y máximos, así como la regeneración de psi por turno. El psi se utiliza para invocar habilidades psiónicas."
psireserve,Shows current and maximum psi point reserves. These points are used to naturally regenerate regular psi points over time.,Muestra las reservas de puntos psi actuales y máximas. Estos puntos se utilizan para regenerar naturalmente los puntos psi regulares con el tiempo.
dodge,Increases your chance to avoid melee attacks.,Aumenta tu probabilidad de evitar ataques cuerpo a cuerpo.
evasion|combatstattooltips.k,Increases your chance to avoid ranged weapon attacks and also decreases the damage taken from area of effect attacks.,Aumenta tu probabilidad de evitar ataques con armas a distancia y también disminuye el daño recibido de los ataques de área de efecto.
evasion|skills.k,Increases your chance to avoid a ranged attack. Reduces damage you receive from area of effect attacks.,Aumenta la probabilidad de evitar un ataque a distancia. Reduce el daño que recibes de los ataques de área de efecto.
fortitude,"Increases the chance to resist some negative status effects, such as stun and incapacitation, caused by direct physical trauma. Also increases poison resistance.","Aumenta la probabilidad de resistir algunos efectos de estado negativos, como el aturdimiento y la incapacitación, causados por traumatismos físicos directos. También aumenta la resistencia al veneno."
resolve,"Increases the chance to resist some negative status effects, such as stun and incapacitation, caused by mental stress and also reduces damage or duration of certain psionic attacks that target the mind directly.","Aumenta la probabilidad de resistir algunos efectos de estado negativos, como el aturdimiento y la incapacitación, causados por estrés mental y también reduce el daño o la duración de ciertos ataques psiónicos que se dirigen directamente a la mente."
togetweaponcritchancemod,Modifies the chance you'll get critically hit with weapons and unarmed attacks.,Modifica la probabilidad de que te hagan un golpe crítico con armas y ataques sin armas.
togetpsicritchancemod,Modifies the chance you'll get critically hit with psi abilities.,Modifica la probabilidad de que te hagan un golpe crítico con habilidades psi.
armorpenalty,"Reduces dodge, evasion, stealth and movement points.","Reduce la esquiva, la evasión, el sigilo y los puntos de movimiento."
shieldcapacity,The total amount of damage the shield can absorb when fully charged.,La cantidad total de daño que el escudo puede absorber cuando está completamente cargado.
shieldingdescription,"Keep in mind that certain attacks can ignore a percentage of the shielding amount, or even ignore the shielding altogether.","Ten en cuenta que ciertos ataques pueden ignorar un porcentaje de la cantidad de escudo, o incluso ignorar el escudo por completo."
shieldingverylow,Maximum amount of damage that the shield can absorb per attack from very low impact speed attacks (such as melee weapon attacks).,Cantidad máxima de daño que el escudo puede absorber por ataque de ataques de velocidad de impacto muy baja (como ataques con armas cuerpo a cuerpo).
shieldinglow,Maximum amount of damage that the shield can absorb per attack from low impact speed attacks (such as crossbow bolts).,Cantidad máxima de daño que el escudo puede absorber por ataque de ataques de velocidad de impacto baja (como virotes de ballesta).
shieldingmedium,Maximum amount of damage that the shield can absorb per attack from medium impact speed attacks (such as regular firearms).,Cantidad máxima de daño que el escudo puede absorber por ataque de ataques de velocidad de impacto media (como armas de fuego regulares).
shieldinghigh,Maximum amount of damage that the shield can absorb per attack from high impact speed attacks (such as sniper rifles).,Cantidad máxima de daño que el escudo puede absorber por ataque de ataques de velocidad de impacto alta (como rifles de francotirador).
shieldingveryhigh,Maximum amount of damage that the shield can absorb per attack from very high impact speed attacks (such as energy weapons).,Cantidad máxima de daño que el escudo puede absorber por ataque de ataques de velocidad de impacto muy alta (como armas de energía).
resistancedescription|combatstattooltips.k,"The armor either absorbs the amount indicated by the percentage OR the flat number, whichever will result in more damage being absorbed. Keep in mind that certain damages (such as poison or direct mind damage, completely ignore armor).\n\nThe number in the brackets is the percentage by which the damage that goes through the shield and the resistance is modified.","La armadura absorbe la cantidad indicada por el porcentaje O el número fijo, lo que resulte en una mayor absorción de daño. Ten en cuenta que ciertos daños (como el veneno o el daño mental directo, ignoran completamente la armadura).\n\nEl número entre paréntesis es el porcentaje en el que se modifica el daño que atraviesa el escudo y la resistencia."
resistancedescription|vehiclestattooltips.k,"The armor either absorbs the amount indicated by the percentage OR the flat number, whichever will result in more damage being absorbed. The unabsorbed amount reduces the vehicles durability.","La armadura absorbe la cantidad indicada por el porcentaje O el número fijo, lo que resulte en una mayor absorción de daño. La cantidad no absorbida reduce la durabilidad de los vehículos."
resistancemechanical|combatstattooltips.k,The amount of mechanical damage your armor can absorb.,La cantidad de daño mecánico que tu armadura puede absorber.
resistancemechanical|vehiclestattooltips.k,The amount of mechanical damage the vehicle's armor can absorb.,La cantidad de daño mecánico que la armadura del vehículo puede absorber.
resistanceheat|combatstattooltips.k,The amount of heat damage your armor can absorb.,La cantidad de daño térmico que tu armadura puede absorber.
resistanceheat|vehiclestattooltips.k,The amount of heat damage the vehicle's armor can absorb.,La cantidad de daño térmico que la armadura del vehículo puede absorber.
resistancecold|combatstattooltips.k,The amount of cold damage your armor can absorb.,La cantidad de daño por frío que tu armadura puede absorber.
resistancecold|vehiclestattooltips.k,The amount of cold damage the vehicle's armor can absorb.,La cantidad de daño por frío que la armadura del vehículo puede absorber.
resistanceelectricity|combatstattooltips.k,The amount of electrical damage your armor can absorb.,La cantidad de daño eléctrico que tu armadura puede absorber.
resistanceelectricity|vehiclestattooltips.k,The amount of electrical damage the vehicle's armor can absorb.,La cantidad de daño eléctrico que la armadura del vehículo puede absorber.
resistanceacid|combatstattooltips.k,The amount of acid damage your armor can absorb.,La cantidad de daño ácido que tu armadura puede absorber.
resistanceacid|vehiclestattooltips.k,The amount of acid damage the vehicle's armor can absorb.,La cantidad de daño ácido que la armadura del vehículo puede absorber.
resistanceenergy|combatstattooltips.k,The amount of energy damage your armor can absorb.,La cantidad de daño energético que tu armadura puede absorber.
resistanceenergy|vehiclestattooltips.k,The amount of energy damage the vehicle's armor can absorb.,La cantidad de daño energético que la armadura del vehículo puede absorber.
resistancebio|combatstattooltips.k,The amount of bio damage your armor can absorb.,La cantidad de daño biológico que tu armadura puede absorber.
resistancebio|vehiclestattooltips.k,The amount of bio damage the vehicle's armor can absorb.,La cantidad de daño biológico que la armadura del vehículo puede absorber.
stealth|combatstattooltips.k,"Indicates how well you can move undetected. The higher your stealth rating is in comparison to enemy's the longer it will take for you to be discovered. If your stealth is much too lower than the detection rating, you will be discovered instantly at maximum range.","Indica lo bien que puedes moverte sin ser detectado. Cuanto mayor sea tu índice de sigilo en comparación con el del enemigo, más tiempo tardarás en ser descubierto. Si tu sigilo es demasiado bajo en comparación con el índice de detección, serás descubierto instantáneamente a la distancia máxima."
stealth|skills.k,Decreases the chance that you'll be spotted while in stealth mode. Also affects numerous aspects of stealth combat.,Disminuye la probabilidad de que te detecten mientras estás en modo sigilo. También afecta a numerosos aspectos del combate sigiloso.
stealth|specialabilities.k,"You enter stealth mode which allows you to hide from others, but reduces your movement speed by {0}%.\n\nTo successfully hide from someone, you need to keep out of their sight for a while. Once you are hidden from someone, they will need to pass a perception check to detect you.\n\nEntering the stealth mode in combat will immediately drain all your remaining action and movement points. While in combat your movement points are reduced to {1} and you can receive no extra movement points from any source.\n\nMost hostile actions will immediately remove you from stealth.","Entras en modo sigilo, lo que te permite esconderte de los demás, pero reduce tu velocidad de movimiento en un {0}%.\n\nPara esconderte con éxito de alguien, necesitas mantenerte fuera de su vista durante un tiempo. Una vez que te has escondido de alguien, necesitarán superar una prueba de percepción para detectarte.\n\nEntrar en modo sigilo en combate drenará inmediatamente todos tus puntos de acción y movimiento restantes. Mientras estés en combate, tus puntos de movimiento se reducen a {1} y no puedes recibir puntos de movimiento extra de ninguna fuente.\n\nLa mayoría de las acciones hostiles te sacarán inmediatamente del sigilo."
detection,Indicates how quickly you discover hidden characters.,Indica lo rápido que descubres a los personajes ocultos.
trapdetection,Indicates how well you discover traps. It's derived from your detection rating and traps skill.,Indica lo bien que descubres las trampas. Se deriva de tu índice de detección y de la habilidad de trampas.
weapondamage,Current weapon normal attack damage range. Only includes bonuses from skill level and strength (for melee weapons).,Rango de daño de ataque normal del arma actual. Solo incluye bonificaciones por nivel de habilidad y fuerza (para armas cuerpo a cuerpo).
weaponactionpointcost,Action points required to perform a normal attack with the current weapon.,Puntos de acción necesarios para realizar un ataque normal con el arma actual.
weaponimpactspeed,Impact speed of the weapon attack.,Velocidad de impacto del ataque del arma.
weaponcritchance,Chance to score a critical hit with a normal attack of the current weapon.,Probabilidad de asestar un golpe crítico con un ataque normal del arma actual.
weaponcritbonus,Damage bonus applied when the current weapon scores a critical hit.,Bonificación de daño aplicada cuando el arma actual asesta un golpe crítico.
initiative,Influences how quickly you'll get your turn when the combat starts.,Influye en lo rápido que obtendrás tu turno cuando comience el combate.
weaponmaxrange,Maximum range of the current weapon.,Alcance máximo del arma actual.
weaponoptimalrange,Optimal range of the current weapon. Beyond this point the precision starts dropping more quickly.,"Alcance óptimo del arma actual. Más allá de este punto, la precisión empieza a disminuir más rápidamente."
metathermicsskill,Effective skill level when invoking metathermic psionic abilities.,Nivel de habilidad efectivo al invocar habilidades psiónicas metatérmicas.
metathermicscritchance,Chance to score a critical hit when invoking metathermic psionic abilities.,Probabilidad de asestar un golpe crítico al invocar habilidades psiónicas metatérmicas.
metathermicscritbonus,Damage bonus applied when you score a critical hit with a metathermic psionic ability.,Bonificación de daño aplicada cuando asestas un golpe crítico con una habilidad psiónica metatérmica.
metathermicspsicost,Base psi point cost modifier for metathermic psi abilities.,Modificador de coste base de puntos psi para habilidades psi metatérmicas.
