Variable,Original,Translation
Weapons.0,Nothing like beating the life out of them with your bare fists!,
Weapon.MutantClaw,"Your arm has been badly burnt almost beyond recognition and tough carapace-like crust now covers most of it, steadily getting thicker towards the tip of the claw.",
Weapon.BoningKnife,A vicious boning knife no doubt used for unseemly purposes.,
mordreInsigniaUnknown,Unknown Insignia,
Plot.67|mordre.char,This insignia is unfamiliar to you. Maybe there is someone out there who could help you identify it?,
Plot.67|spectreinsignia.item,This insignia belonged to an elite Biocorp unit known as Spectres.,
rkl2_rathoundKingsKey,Rathound King's Key,
Plot.20|rathoundking.char,A metal key whose bow is noticeably bent.,
Plot.20|evelynskey.item,This key is used to unlock something in Evelyn's home. (Foundry),
Plot.20|piratecellkey.item,This must be the key for the cell doors in the basement of a building in the Pirate base.,
sporeLauncher,Spore Launcher*,
blastSuit|masterexploder.char,Master Exploder's Blast Suit*,
blastSuit|blastsuit.item,Blast Suit,
Misc.0|masterexploder.char,A full suit of body armor specially designed to withstand the pressure generated by a bomb and any fragments the bomb may produce.,
Misc.0|neoprenesuit.item,You have to wear this while riding a jetski unfortunately.,
Armors.45,Plain old robe.,
tchsol|tchortistjuggernaut.char,Tchortist Juggernaut Armor*,
tchsol|tchortistsoldierarmor.item,Tchortist Rassophore Armor,
Weapons.90|dreadnought.char,A rotary machine gun firing 9mm armor-piercing rounds.,
Weapons.90|xpbl_js1.char,Large 9mm gatling gun firing armor piercing rounds.,
Components.120|dreadnought.char,Safely behind metal plates and unbreakable glass.,
Components.120|xpbl_js1.char,Safely behind metal plates and unbreakable glass.,
Components.120|steel.item,It's a set of thick steel plates.,
Weapons.100,Large industrial rock drill.,
minibotGun,Minibot Gun*,
plasmaSentryLaserGun|plasmasentry.char,Laser Gun*,
plasmaSentryLaserGun|bostonbotfreezing.char,Cold Laser Gun*,
turret1Gun|plasmaturret.char,Twin Plasma Cannons*,
turret1Gun|turret1.char,Turret1 Gun*,
turret1Gun|seahorseturret.char,Plasma Cannon*,
shockGun,Shock Gun*,
pneumaticHammer|threadbot.char,Pneumatic Hammer*,
pneumaticHammer|pneumatichammer.item,Pneumatic Hammer,
turret2Gun,Turret1 Gun*,
wheeledBot1Gun,WheeledBot1 Gun*,
boneChieftainArmor,Bone Chieftain Armor*,
fireChieftanArmor,Fire Chieftan Armor*,
savageWarriorArmor|highshaman.char,High Shaman Armor*,
savageWarriorArmor|savagewarriorarmor.item,Savage Warrior Armor,
kingsSpear,King's Spear*,
kingsArmor,King's Armor*,
savageTranscendentArmor|yngwar.char,Yngwar's Half-Transcendent Armor*,
savageTranscendentArmor|savagetranscendentarmor.item,Savage Transcendent Armor,
gunslingersExtraSlots*,Extra Slots/Doctor's Pouch*,
Armors.62,You can conveniently store and quickly access all kinds of medical equipment in this pouch.,
ballistaBoltShooter,Ballista Bolt Shooter*,
handmaidenFist|lemurianhandmaiden.char,Handmaiden Fist*,
handmaidenFist|lemurianstrongman.char,Strongman Fist*,
machineGunTurret,Turret1 Gun*,
laserGun,Laser Gun*,
