Variable,Original,Translation
Weapons.0,Nothing like beating the life out of them with your bare fists!,¡Nada como molerlos a puñetazos!
Weapon.MutantClaw,"Your arm has been badly burnt almost beyond recognition and tough carapace-like crust now covers most of it, steadily getting thicker towards the tip of the claw.","Tu brazo está gravemente quemado, casi irreconocible, y ahora la mayor parte está cubierta por una dura corteza similar a un caparazón, que se hace cada vez más gruesa hacia la punta de la garra."
Weapon.BoningKnife,A vicious boning knife no doubt used for unseemly purposes.,"Un cuchillo deshuesador brutal, sin duda usado para propósitos indecorosos."
mordreInsigniaUnknown,Unknown Insignia,Insignia Desconocida
Plot.67|mordre.char,This insignia is unfamiliar to you. Maybe there is someone out there who could help you identify it?,Esta insignia te resulta desconocida. ¿Quizás haya alguien ahí fuera que pueda ayudarte a identificarla?
Plot.67|spectreinsignia.item,This insignia belonged to an elite Biocorp unit known as Spectres.,Esta insignia perteneció a una unidad de élite de Biocorp conocida como Espectros.
rkl2_rathoundKingsKey,Rathound King's Key,Llave del Rey Rata
Plot.20|rathoundking.char,A metal key whose bow is noticeably bent.,Una llave de metal cuyo arco está notablemente doblado.
Plot.20|evelynskey.item,This key is used to unlock something in Evelyn's home. (Foundry),Esta llave se utiliza para desbloquear algo en la casa de Evelyn. (Fundición)
Plot.20|piratecellkey.item,This must be the key for the cell doors in the basement of a building in the Pirate base.,Esta debe ser la llave de las puertas de las celdas en el sótano de un edificio en la base pirata.
sporeLauncher,Spore Launcher*,Lanzador de Esporas*
blastSuit|masterexploder.char,Master Exploder's Blast Suit*,Traje Antiexplosiones de Maestro Explosivo*
blastSuit|blastsuit.item,Blast Suit,Traje Antiexplosiones
Misc.0|masterexploder.char,A full suit of body armor specially designed to withstand the pressure generated by a bomb and any fragments the bomb may produce.,Un traje completo de armadura corporal especialmente diseñado para resistir la presión generada por una bomba y cualquier fragmento que pueda producir.
Misc.0|neoprenesuit.item,You have to wear this while riding a jetski unfortunately.,"Desafortunadamente, tienes que llevar esto mientras montas una moto acuática."
Armors.45,Plain old robe.,Túnica vieja y simple.
tchsol|tchortistjuggernaut.char,Tchortist Juggernaut Armor*,Armadura de Juggernaut Tchortista*
tchsol|tchortistsoldierarmor.item,Tchortist Rassophore Armor,Armadura de Rasóforo Tchortista
Weapons.90|dreadnought.char,A rotary machine gun firing 9mm armor-piercing rounds.,Una ametralladora rotatoria que dispara proyectiles perforantes de 9 mm.
