Variable,Original,Translation
ldstr.0f2121c09548299f6eeb7e8dcdd87313,   Scrolling Combat Text,
ldstr.e49698ee14007872abd75f43a4fe0771,"  {0,2} AP",
ldstr.1c29c3cba920924f8693c98fa87da7c9,"  {0,2} MP",
ldstr.617c7824d09e8c8d3d6f005447d14f84, (Max size: ,
ldstr.c5090bb770287df253e8fe9a1135acf3, (Ouroboros) - ,
ldstr.45850efd116e9bb3ae0662b21180f858, (already obtained),
ldstr.9b790a1c94937c437f9801d3c970efa7, (empty),
ldstr.70b08801105b13ff1e7bf53ed041e094, (lockpicking ,
ldstr.a8ff5c3fcd0d7196686e3ead7f75cb7f, (personal)::\r\n::Access Level: FULL::,
ldstr.4d75990c772e41ac0b16e22f012068b3, (player),
ldstr.0c137c36d176cacf8ad7a73413622113, - Change to: ,
ldstr.de3e33eb8e13fe759acc02a43663aee4, - Turn ,
ldstr.4605f4d72b4d68a96fa0a0d52445a3f4, - sub group ,
ldstr.27ff553afc8a28f875ee43bf7a516b58, A barrel compensator is mounted on the end of the barrel to counter the vertical movement during bursts.,
ldstr.fe436b3b2fd943986bc2588243056674," A muzzle brake is mounted on the end of the barrel to take some of the kick out of the gun, allowing for longer bursts.",
ldstr.59c7ed26d414e10141172a7db83e3d2e, Armor,
ldstr.6b2689427df15415447b483e4b24bc71, Base Psi Cost Modifier,
ldstr.82a1cb2d85b0ef6b9830d248c232e5b0, Bipod,
ldstr.ef6c648dbe5671196bbaf692b4142e73, Bonus,
ldstr.45373b06d64e40ea575fc3ee62d0d64a, Choke has been added to the end of the barrel to reduce pellet spread at the price of power.,
ldstr.f6ff9a32b877e7572cc65b8bfb34bf84, Commando,
ldstr.3a24fca252b96fd56ccccab39eb27548, Corpse,
ldstr.7962fa41010c15c105be0bf1a645ee43, Costs {0} energy.,
ldstr.fd6311b126bcdb1c55797fac1c63ff4b, Critical Hit Chance,
ldstr.b6bbd514c21dc0b664852d3a3ddbe151, Critical Hit Damage Bonus,
ldstr.6af97e87b60cabc8fec1461c71a255ff, Critical Hit!,
ldstr.3396e6e27d9c7562c0253aedd9743e97, Does not work on grenade launchers.,
ldstr.0b160a543a7968cf539c0bcefc155ffb, Forward grip ensures weapon stability during burst fire.,
ldstr.7636c409b535789d8548c3dc727c3b61, Forward grip ensures weapon stability when firing while moving.,
ldstr.207b6a187b443a848ff96f8f70683185, Forward grip ensures weapon stability.,
ldstr.dabe801ee4545fef7a302ef073589c43, Has {0}% chance to critically heal for double the amount.,
ldstr.1ee1eb91302945ae0c2eee5a0f8dbcc3, Helmet,
ldstr.f9231e8c7b15f4db372ba856e68b69d2, I'm also always looking to buy ,
ldstr.751cea617ae9be2161396d4753fe5329," Instead of the usual reloading mechanism, it has a rapid reloader.",
ldstr.6670c5f96439f7d257e63416db5b6a97, It also comes with a shield for extra protection against melee attacks.,
ldstr.1d6a43f467ffd9a271f7ce622d02c899, It also comes with a {0} shield for extra protection against melee attacks.,
ldstr.87dcd043d5a38dbf6745b41167a1efca, It has a long barrel for increased range.,
ldstr.4486b0b119a7bff83520085e6a6507f3," It is equipped with a laser sight, allowing for easier aiming.",
ldstr.3bc59751590687f3ef32b26fa7125d12, It is equipped with ammo belt that can house {0} rounds.,
ldstr.1efed4acf6fa5690089c315ccf30c4a7, It is equipped with an especially strong string.,
ldstr.f5050ebf809d0d39110f25dcb6bf065c," It is equipped with bipod attachment, allowing for better, although slower, aiming.",
ldstr.6e1becf3379cede66f003ca2e35d20bd, It is equipped with {0} capacity box magazine.,
ldstr.99eda499b2b54b8f73ef586d398791ab, It sports a circular wave amplifier that periodically amplifies energy output.,
ldstr.ca30308f55ab14afcded6ffa14a1f244, It sports a combat-ready headlight.,
ldstr.2e9a5cc081146237c66065d9f5ed7f33, It sports a module that runs targeting assistance software which increases efficiency of precision shots.,
ldstr.3d09398e807091e9dad82e3c4decd33b, It sports a scope with a range finder that allows for increased precision.,
ldstr.f5651cc9501f0482fa4899f256babe5d, It sports a simple grenade launcher iron sight.,
ldstr.312dff82fbd7991635566d518c22c370, It sports an airburst capable scope that both increases precision and times grenades to explode before surface impact.,
ldstr.bd9d441c45d36cbe3236878019a6aad3, It sports an extended magazine which stores a total of {0} rounds.,
ldstr.a1c9f1c91409c57b301a1dad8e896663, It's decorated with blades and spikes that can inflict additional damage to your opponents in melee combat.,
ldstr.728967d3b947bde3eba50f1ecb112bd1, It's decorated with serrated blades that can inflict additional damage to your opponents in melee combat.,
ldstr.9770973c8c58616f38d62a401a3991fb, It's decorated with spikes that can inflict additional damage to your opponents in melee combat.,
ldstr.764ba34dff6b1173f06ae33f24040b32, It's equipped with a digital scope that provides high precision targeting.,
